Date;Open;High;Low;Close;Adj Close;Volume
2012-03-05;1.229879;1.234505;1.232446;1.229756;1.229756;null
2012-03-06;1.238556;1.242974;1.237143;1.238712;1.238712;null
2012-03-07;1.241724;1.246027;1.243433;1.242034;1.242034;null
2012-03-08;1.243443;1.246423;1.243998;1.243272;1.243272;null
2012-03-09;1.246692;1.239049;1.244664;1.247099;1.247099;null
2012-03-12;1.241989;1.248770;1.244352;1.242512;1.242512;null
2012-03-13;1.250659;1.244475;1.248971;1.250198;1.250198;null
2012-03-14;1.240798;1.247589;1.240550;1.240680;1.240680;null
2012-03-15;1.247229;1.247471;1.242509;1.247363;1.247363;null
2012-03-16;1.243291;1.241488;1.244173;1.243107;1.243107;null
2012-03-19;1.242878;1.244624;1.248921;1.242894;1.242894;null
2012-03-20;1.248221;1.259697;1.246809;1.248062;1.248062;null
2012-03-21;1.262598;1.264643;1.261804;1.262516;1.262516;null
2012-03-22;1.263449;1.270682;1.264236;1.263860;1.263860;null
2012-03-23;1.269563;1.271434;1.269409;1.269510;1.269510;null
2012-03-25;1.266565;1.265417;1.264707;1.266418;1.266418;null
2012-03-26;1.268924;1.271778;1.267368;1.269125;1.269125;null
2012-03-27;1.276130;1.282072;1.279914;1.276304;1.276304;null
2012-03-28;1.282236;1.286371;1.283281;1.282356;1.282356;null
2012-03-29;1.283145;1.285724;1.283504;1.283265;1.283265;null
2012-04-01;1.281272;1.280731;1.281882;1.281245;1.281245;null
2012-04-02;1.278496;1.284582;1.277300;1.278453;1.278453;null
2012-04-03;1.283083;1.279358;1.283536;1.282782;1.282782;null
2012-04-04;1.278615;1.271202;1.275404;1.278483;1.278483;null
2012-04-05;1.268975;1.270418;1.269289;1.269049;1.269049;null
2012-04-08;1.271018;1.270799;1.267812;1.271299;1.271299;null
2012-04-09;1.271863;1.273041;1.269309;1.271693;1.271693;null
2012-04-10;1.278177;1.277512;1.273239;1.277474;1.277474;null
2012-04-11;1.271105;1.271291;1.262378;1.271307;1.271307;null
2012-04-12;1.263466;1.261796;1.262751;1.263453;1.263453;null
2012-04-15;1.262358;1.260245;1.260723;1.262267;1.262267;null
2012-04-16;1.267918;1.270108;1.263547;1.267800;1.267800;null
2012-04-17;1.262170;1.262480;1.261743;1.262196;1.262196;null
2012-04-18;1.265062;1.266991;1.266663;1.264904;1.264904;null
2012-04-19;1.270571;1.273592;1.273684;1.270567;1.270567;null
2012-04-22;1.272303;1.275842;1.272259;1.271649;1.271649;null
2012-04-23;1.276036;1.282687;1.279892;1.275535;1.275535;null
2012-04-24;1.276709;1.278953;1.278974;1.277128;1.277128;null
2012-04-25;1.277041;1.275365;1.275684;1.277041;1.277041;null
2012-04-26;1.272045;1.270753;1.269900;1.272392;1.272392;null
2012-04-29;1.266446;1.269115;1.267773;1.266366;1.266366;null
2012-04-30;1.269989;1.281298;1.273454;1.270370;1.270370;null
2012-05-01;1.280935;1.276523;1.278526;1.280816;1.280816;null
2012-05-02;1.275635;1.277005;1.277701;1.275493;1.275493;null
2012-05-03;1.281450;1.285107;1.281807;1.281279;1.281279;null
2012-05-06;1.280699;1.281931;1.279146;1.281145;1.281145;null
2012-05-07;1.278892;1.286799;1.278370;1.278592;1.278592;null
2012-05-08;1.286312;1.288430;1.285397;1.286303;1.286303;null
2012-05-09;1.286818;1.286176;1.279421;1.286636;1.286636;null
2012-05-10;1.285762;1.288388;1.284782;1.285746;1.285746;null
2012-05-13;1.287447;1.287827;1.285843;1.286816;1.286816;null
2012-05-14;1.286539;1.282156;1.284998;1.286539;1.286539;null
2012-05-15;1.280693;1.284656;1.279914;1.280438;1.280438;null
2012-05-16;1.282169;1.279868;1.279612;1.281859;1.281859;null
2012-05-17;1.283302;1.290482;1.287487;1.283302;1.283302;null
2012-05-20;1.298378;1.296754;1.297246;1.298250;1.298250;null
2012-05-21;1.292158;1.291247;1.289211;1.291699;1.291699;null
2012-05-22;1.296226;1.294970;1.296804;1.295973;1.295973;null
2012-05-23;1.290793;1.288852;1.284686;1.291169;1.291169;null
2012-05-24;1.283977;1.285699;1.285495;1.283816;1.283816;null
2012-05-27;1.280318;1.276212;1.276255;1.280040;1.280040;null
2012-05-28;1.275927;1.272326;1.270213;1.275301;1.275301;null
2012-05-29;1.269528;1.274597;1.269821;1.269778;1.269778;null
2012-05-30;1.275090;1.275700;1.273247;1.275090;1.275090;null
2012-05-31;1.271570;1.282947;1.280143;1.271727;1.271727;null
2012-06-03;1.285447;1.286174;1.283219;1.285998;1.285998;null
2012-06-04;1.283123;1.278099;1.279093;1.283212;1.283212;null
2012-06-05;1.274676;1.274243;1.264586;1.274801;1.274801;null
2012-06-06;1.268879;1.268724;1.261770;1.268955;1.268955;null
2012-06-07;1.267958;1.266924;1.268293;1.268510;1.268510;null
2012-06-10;1.266566;1.260009;1.265179;1.266313;1.266313;null
2012-06-11;1.263539;1.261719;1.260412;1.263289;1.263289;null
2012-06-12;1.256971;1.256020;1.260474;1.256346;1.256346;null
2012-06-13;1.263723;1.263892;1.262301;1.263800;1.263800;null
2012-06-14;1.261435;1.259994;1.256198;1.260866;1.260866;null
2012-06-17;1.256117;1.248799;1.255720;1.256117;1.256117;null
2012-06-18;1.245695;1.243990;1.245492;1.245692;1.245692;null
2012-06-19;1.245676;1.245213;1.246240;1.245410;1.245410;null
2012-06-20;1.243855;1.246348;1.245688;1.243660;1.243660;null
2012-06-21;1.249398;1.251503;1.249953;1.249630;1.249630;null
2012-06-24;1.248991;1.251123;1.249417;1.249386;1.249386;null
2012-06-25;1.248797;1.243603;1.245196;1.248718;1.248718;null
